,Country,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
139,Rwanda,5.0,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,1879.0,0.2660989888238425
140,Saint Kitts and Nevis,0.0,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,17.0,0.0
141,Saint Lucia,0.0,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,24.0,0.0
142,Saint Vincent and the Grenadines,0.0,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,52.0,0.0
143,San Marino,42.0,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,699.0,6.008583690987124
144,Sao Tome and Principe,14.0,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,865.0,1.6184971098265895
145,Saudi Arabia,2760.0,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,268934.0,1.0262741044271086
146,Senegal,194.0,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,9764.0,1.9868906185989348
147,Serbia,543.0,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,24141.0,2.249285447993041
148,Seychelles,0.0,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,114.0,0.0
149,Sierra Leone,66.0,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,1783.0,3.701626472237801
150,Singapore,27.0,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,50838.0,0.05310987843738935
151,Slovakia,28.0,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,2181.0,1.2838147638697845
152,Slovenia,116.0,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,2087.0,5.558217537134643
153,Somalia,93.0,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,3196.0,2.909887359198999
154,South Africa,7067.0,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,452529.0,1.5616678710093719
155,South Korea,300.0,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,14203.0,2.1122298106033934
156,South Sudan,46.0,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,2305.0,1.9956616052060738
157,Spain,28432.0,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,272421.0,10.436787178668311
158,Sri Lanka,11.0,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,2805.0,0.39215686274509803
159,Sudan,720.0,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,11424.0,6.302521008403361
160,Suriname,24.0,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,1483.0,1.6183412002697235
161,Sweden,5700.0,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,79395.0,7.179293406385792
162,Switzerland,1978.0,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,34477.0,5.737158105403602
163,Syria,40.0,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,674.0,5.934718100890208
164,Taiwan*,7.0,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,462.0,1.5151515151515151
165,Tajikistan,60.0,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,7235.0,0.82930200414651
